"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Adell, Jo","666176","2024","20",27.9,".402",".224",".418",".296",".312",".297",".193",76.7,65.9,15.2,11,25.1,18.2,"7.6","20","89.8","15.9",30.5,11.7,44.7,"102.6788005","95.748719749",21.1,49.1,50.9,78.9,29.8,49.7
"Benson, Will","666181","2024","14",39.7,".376",".180",".333",".285",".268",".268",".153",72.1,20.8,10.3,6.5,25.8,16.2,"7.9","17","89.4","18.2",36.5,11.5,40.1,"99.756805263","94.123444",31.6,65.1,33.7,68.4,39,47.6
"Bichette, Bo","666182","2024","4",19,".322",".255",".375",".264",".303",".307",".120",70.4,14.2,14.8,11.7,32.7,25.9,"7.3","10","89.2","7.2",31.3,4.4,43.5,"100.896776504","94.778862816",11.4,42.8,57.2,88.6,22,56.4
"Naylor, Bo","666310","2024","13",31.4,".350",".196",".326",".269",".260",".260",".130",70.6,9.8,12.9,9.5,31.3,23.2,"7.4","20","88.8","19.9",32.6,8.1,37.7,"98.72815","93.535266567",21.3,45.6,53.9,78.7,28.3,46.9
"Julien, Edouard","666397","2024","8",33.9,".323",".197",".351",".278",".287",".291",".154",71.9,17,12.7,9,28.2,20,"7.1","10","87.8","11.9",38.4,9.8,37.8,"98.889968415","93.491651402",21.9,63.3,36.7,77.6,30.9,40.6
"Morel, Christopher","666624","2024","21",26,".346",".225",".399",".280",".316",".316",".174",76.1,64.7,17.6,11.7,30.2,20.1,"8","24","89.2","14.2",27.6,10.2,40.4,"101.221222105","94.784090605",27.3,51.1,48.9,72.7,34.1,47
"García, Adolis","666969","2024","25",27.8,".400",".227",".413",".296",".306",".289",".186",72,23,16.4,11.1,33.4,22.6,"7.9","14","91","15",33.7,12.5,48.2,"101.827676765","95.435631691",24.7,51.5,48.5,75.1,34.3,52.1
"Gurriel Jr., Lourdes","666971","2024","18",18.3,".435",".267",".421",".327",".319",".312",".154",70.6,9.5,13.4,10.9,31.5,25.7,"7.5","12","88.4","15.7",33.8,6.7,40,"99.549348469","93.921850288",11.8,37.7,62.3,88.2,20.2,51.1
"Rooker Jr., Brent","667670","2024","39",28.8,".562",".266",".557",".392",".380",".341",".291",73.7,37.2,18,12.5,32.5,22.4,"7.1","29","91.9","18.9",38.3,16.6,49.6,"103.25238457","96.193453235",21.1,60.2,39.8,78.9,34.1,50.2
"Arozarena, Randy","668227","2024","20",26.1,".388",".219",".381",".320",".324",".335",".162",72.7,33.4,15.9,11.6,32.9,24.1,"7.4","15","90.4","13.2",28.4,8.3,43.5,"100.904108177","94.731331384",25,40,60,75,29.7,41
"Rogers, Jake","668670","2024","10",29.4,".352",".218",".413",".264",".297",".276",".194",70.7,6.4,14.2,9.7,39.2,26.6,"7.4","12","89","15.7",32.9,9.9,41.8,"99.180639906","93.973828585",24.8,54.7,45.3,75.2,32.7,47.6
"Bleday, JJ","668709","2024","20",19.5,".437",".242",".400",".330",".319",".324",".157",71.7,16.5,15.5,11.8,35,26.5,"7.3","24","88.5","18.6",37.1,8.3,36.2,"98.959573229","93.527316345",17,49.1,50.3,82.5,26.1,45.3
"Steer, Spencer","668715","2024","20",20.9,".402",".235",".379",".316",".315",".328",".144",71.6,13.6,12.7,10,32.5,25.6,"7.4","21","88","17.4",34.2,6.4,39.9,"99.163434247","93.708755492",13.4,47.9,52.1,86.6,23.1,44.5
"Reynolds, Bryan","668804","2024","24",22.5,".447",".270",".463",".343",".350",".342",".193",71.5,17.1,17.4,12.7,36.6,26.7,"6.8","31","89.9","9.4",37.5,9.6,45.4,"100.987209316","94.867542484",18.7,52,48,81.3,29.4,50.4
"Vientos, Mark","668901","2024","27",29.7,".516",".246",".463",".356",".331",".305",".217",71.7,20,19.6,13.1,36.2,24.3,"7.6","19","91.2","11.4",34.6,14.1,46.6,"102.544746312","95.741575567",25,53.1,46.9,75,34.4,49.9
"Lewis, Royce","668904","2024","16",22.8,".452",".246",".435",".317",".320",".309",".189",73.3,36.1,12.7,9.4,26.6,19.7,"7.7","13","87.1","16.8",36.3,11.2,37.7,"99.690144144","93.856491441",19.4,41.9,58.1,80.6,27,51.9
"Turang, Brice","668930","2024","7",17,".349",".261",".340",".294",".297",".323",".079",66.2,3.5,6.2,5.4,33.8,29.2,"6.1","12","87","6.1",32,2.4,29.7,"96.869333063","92.521821874",9.2,25.7,72.5,88.4,13.8,47.7
"Rutschman, Adley","668939","2024","19",16.1,".391",".255",".393",".309",".315",".325",".138",69,6.4,10.6,8.9,35.7,30,"6.9","9","88.2","18.8",35.4,6.1,36.6,"98.081119454","93.149039684",12.1,27.5,72.5,87.9,17.1,44.5
"Rojas, Josh","668942","2024","8",22.7,".336",".223",".350",".286",".293",".304",".127",66.6,0.8,10,7.7,37.5,29.1,"7.3","15","88.2","15.5",35.6,5.7,38.2,"97.946263631","93.225198599",15.9,52.8,47.2,83.2,24.4,45.6
"Melendez Jr., MJ","669004","2024","17",25.1,".400",".239",".425",".292",".317",".303",".186",72.8,33,15.7,11.2,30.6,21.9,"7.7","14","91.1","14.6",29.1,8.4,45.2,"101.49620396","95.196771409",24.1,43.7,56.3,75.7,29.5,52.5
"Marsh, Brandon","669016","2024","16",32.4,".419",".236",".406",".326",".324",".321",".170",71.9,15.4,14.8,11.1,33.8,25.2,"7.2","4","91.6","13.8",40.7,10,47.4,"101.08883194","95.182442734",16.2,53.1,46.1,83.5,27.5,41.3
