"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Duran, Jarren","680776","2024","21",21.8,".492",".275",".453",".357",".342",".334",".178",73.6,36.4,17.9,13.8,30.2,23.3,"7.6","21","90.8","9.5",33.8,9.3,43.9,"101.928155512","95.341113209",15.7,47.1,52.6,84.1,24.8,48.3
"Jeffers, Ryan","680777","2024","21",20.2,".432",".226",".386",".317",".304",".302",".160",72.9,34.1,13.3,10.5,27.4,21.6,"7.5","23","86.9","16.2",31.7,8.3,33.8,"99.008221173","93.57098291",16,36.6,63.1,84,23.6,48.5
"Gelof, Zack","680869","2024","17",34.4,".362",".199",".347",".276",".271",".262",".148",71.6,11.7,12,7.8,30.4,19.8,"7.3","23","89.2","14.2",34.4,8.8,37.2,"98.970921935","93.611147032",26.1,62.8,36.8,73.5,36.4,51.5
"Donovan, Brendan","680977","2024","14",12.4,".417",".277",".419",".332",".335",".343",".142",69.6,7.2,13.8,12,40.5,35.2,"6.9","14","88.7","13.2",36.6,5.5,37.6,"98.552237391","93.418618597",8.6,33.6,65.7,90.7,15.1,44.2
"Stott, Bryson","681082","2024","11",16.3,".356",".254",".363",".296",".306",".325",".109",68.2,1.9,8.8,7.5,34.8,29.7,"7.1","22","87","14",35.3,3.6,30.8,"97.149266143","92.631038831",13.3,25,74.4,86.3,17,44.1
"Cowser, Colton","681297","2024","24",30.7,".447",".230",".437",".331",".326",".312",".207",73.8,40.7,17,12.4,31,22.7,"6.9","23","90.5","13",32.1,13.6,46.1,"101.838992303","95.374243739",20.1,56.7,43.3,79.2,30.4,44.5
"O'Hoppe, Logan","681351","2024","20",29.7,".409",".251",".454",".311",".331",".310",".203",70.7,17.4,14.6,10.1,32.9,22.7,"7.3","41","90.4","15.3",42.9,12,46.3,"101.233350982","95.0870388",22.7,54.3,45.7,77.3,33.6,52
"Pages, Andy","681624","2024","13",24.4,".407",".251",".422",".310",".321",".311",".171",73.1,28.1,14.2,10.7,27.9,21,"7.7","11","88.6","20.8",40.8,10.7,40.1,"100.310081745","94.262423423",19.5,41.6,58.4,80.5,26.1,51
"Fry, David","681807","2024","14",21.4,".448",".246",".394",".347",".326",".344",".149",70.5,9.2,12.7,9.9,29.3,22.9,"7.8","20","88.3","19.6",36.9,7.5,37.6,"99.146678031","93.715471417",16.2,46,54,83.8,24.8,49.2
"Alvarez, Francisco","682626","2024","11",25.1,".403",".220",".358",".310",".289",".292",".139",73.6,37.9,16.3,11.8,31.1,22.6,"7.2","11","88.8","6.9",27.2,6.7,42,"101.298215536","94.784205516",20.6,48.7,51.3,79.4,29.6,46.1
"De La Cruz, Elly","682829","2024","25",31.3,".471",".240",".428",".349",".328",".322",".188",75.2,54,19.1,13.4,31.8,22.2,"7.3","31","91.8","9.7",35.7,12.7,45.7,"102.95535404","95.90272362",23.2,54.2,45.3,75.6,33.4,43.4
"Abrams, CJ","682928","2024","20",21.3,".433",".247",".409",".322",".319",".318",".161",72.2,23.9,13.5,10.4,31.9,24.7,"7.5","32","88.2","15.1",33,6.9,40.7,"99.496479615","93.910198048",18.4,37.7,62.1,81.3,24.7,53.3
"Greene, Riley","682985","2024","24",26.7,".479",".253",".477",".355",".353",".341",".224",74.6,45.3,16.9,12.5,30.6,22.7,"7.2","7","91.3","12.2",39.1,13.4,47.1,"102.088081676","95.54007409",19.4,45.8,54.2,80.6,26.8,44.3
"Carroll, Corbin","682998","2024","22",19,".428",".241",".391",".325",".324",".334",".150",73.7,36.9,18.4,14.6,34.9,27.7,"7","5","89.3","12",27.8,7.2,40.8,"101.055665665","94.755672366",13,36.1,62.8,85.8,20.3,41.4
"Henderson, Gunnar","683002","2024","37",22.1,".529",".283",".492",".381",".374",".368",".208",76.3,64,22.6,17.6,32.1,25.1,"7.2","20","92.8","9.2",34.5,11.2,53.9,"104.002332911","96.835723291",17.5,42.8,57.2,82.5,24.4,44.2
"Volpe, Anthony","683011","2024","12",22.6,".364",".238",".332",".287",".278",".291",".094",69.5,4.7,10.8,8.5,33.2,26.2,"7.1","29","87.7","8.4",33.3,3.9,35.4,"98.177841555","93.206482989",16.5,37.4,61.8,82.4,22.6,48.1
"Vaughn, Andrew","683734","2024","19",21.3,".402",".244",".440",".304",".319",".297",".197",70.8,12,16.2,12.9,35.4,28.3,"7.6","12","90.3","16.6",33.6,9.3,43.3,"100.921632928","94.702971332",11.8,41.6,58.4,88.2,22,49.4
"Busch, Michael","683737","2024","21",28.6,".440",".217",".418",".336",".319",".309",".202",70.3,11.3,13.3,9.6,35,25.2,"7.3","18","89.9","17.2",36.4,11.2,39.9,"99.992212321","94.35127744",20.2,51.1,48.2,79.6,28.4,45.2
"Frelick, Sal","686217","2024","2",14.9,".335",".246",".304",".292",".278",".308",".058",66.3,2.6,6,5.3,36.1,31.7,"6.9","10","83.4","9.7",30,0.8,19.5,"94.439757846","91.272403907",8.1,23.8,76.2,91.2,12.9,41.5
"Pasquantino, Vinnie","686469","2024","19",12.8,".446",".266",".438",".325",".331",".322",".172",71.8,20.7,16.1,13.9,36.8,31.7,"7.4","12","91","14.6",31.9,7.1,46.5,"100.997993151","94.970921142",7.5,28.4,71.6,91.9,14.5,47.8
"Doyle, Brenton","686668","2024","23",25.4,".446",".254",".437",".328",".329",".315",".183",70.9,8.1,15.2,10.8,34.3,24.3,"7.4","20","89.2","13.2",37.4,10.5,41.4,"100.983223096","94.67619269",18.2,56.5,42.9,81.1,29.8,51.4
"Lee, Korey","686676","2024","12",31,".347",".212",".338",".257",".256",".246",".126",71.4,14.1,14.2,9.1,30.1,19.4,"7.2","16","88.3","9.6",34.1,7.5,37.6,"99.5141412","93.7992936",28.5,58.6,41.4,71,37.1,58.9
"Massey, Michael","686681","2024","14",15.7,".449",".258",".414",".317",".309",".295",".156",70.8,8.3,11.9,10,35.5,29.8,"7.2","6","89.2","16.8",34.4,7.1,36.9,"98.396031151","93.36810777",8.7,33.9,66.1,91.3,17.9,52
"Brennan, Will","686823","2024","8",13.6,".388",".269",".374",".303",".302",".314",".105",69,3.2,9.7,8.1,34.1,28.5,"6.9","22","86","13.3",31.1,4.6,32.5,"97.132881418","92.582691388",13,30,70,86.6,18.1,54.8
"Neto, Zach","687263","2024","23",23.3,".443",".236",".414",".330",".317",".307",".178",71,14.7,13.9,10.4,33.8,25.4,"7.1","37","88.5","12.3",29,8.4,38.8,"100.130832864","94.28058907",17.8,45.8,53.4,81.7,27.1,48.9
"Ortiz, Joey","687401","2024","11",20.2,".398",".234",".343",".319",".305",".328",".109",73.4,34.8,12.4,10.5,26.5,22.5,"7.5","8","87.8","9.9",26.6,4.6,38.4,"99.391509467","93.766433018",9.9,33.3,66.7,89.8,17.1,39.4
"Horwitz, Spencer","687462","2024","12",18.4,".433",".254",".419",".344",".338",".349",".165",69.5,9.5,11.1,9.1,33.5,27.3,"7","10","88.2","13.7",37.4,8,36.6,"98.212716794","93.175509618",15.5,29.6,70.4,84.5,19.4,46
"Keith, Colt","690993","2024","13",19.8,".380",".266",".393",".301",".311",".316",".126",71.3,14.8,12.5,9.7,35,27.2,"6.7","14","87.8","11.3",34.6,5.6,35.3,"98.472613627","93.330372181",13.4,44.4,55.6,86.6,23.2,48.6
"Winn, Masyn","691026","2024","15",17.1,".416",".256",".358",".315",".293",".305",".102",70.2,11.5,12,9.9,32.2,26.5,"7.3","14","87","13.2",33.5,3.7,32.7,"98.144268452","93.085870398",13,32.2,67.6,86.1,19,47
"Crow-Armstrong, Pete","691718","2024","10",23.9,".384",".223",".367",".289",".281",".275",".144",70.6,8,12.5,8.8,33.7,23.7,"7.2","10","88.9","17.2",33.3,7.4,36.8,"98.797836565","93.630440766",24.6,40.4,57.9,73.2,29.9,60.7
"Gonzales, Nick","693304","2024","7",19.1,".398",".270",".407",".307",".317",".314",".136",71.1,12.9,14,10.8,32.8,25.4,"7.3","16","87.9","13",34.1,7.9,36.9,"98.826293958","93.505191185",17.4,42.3,57.7,82.6,24.9,56.2
"Chourio, Jackson","694192","2024","21",21.1,".464",".274",".430",".339",".328",".326",".156",73.2,34,17.9,13.5,34.5,26,"7.4","22","89.7","7.6",33.2,7.8,44.9,"100.832969557","94.831073407",17.3,47,53,82.6,27.1,48.8
"Schanuel, Nolan","694384","2024","13",17,".362",".258",".359",".315",".321",".351",".101",65.2,2.4,5.6,4.9,36.6,31.8,"6.6","13","86.1","10.3",36.4,3.5,25.4,"95.305191333","91.662606993",10,27.3,71.9,89.5,14.4,41.8
"Langford, Wyatt","694671","2024","16",20.6,".415",".257",".427",".321",".331",".330",".170",74.5,48.2,18.4,14.2,31.7,24.4,"7","8","89.6","16.6",31.3,9.3,43.4,"101.211098854","94.807365599",16.8,38.5,61.5,83.2,22.9,42.8
"Wood, James","695578","2024","9",28.9,".427",".269",".439",".342",".351",".359",".170",73.9,44.3,21.2,15.5,33.1,24.2,"7.4","17","92.8","2.4",31.3,10.6,52,"104.677013333","97.028448782",20,55.1,44.9,80,29.6,38.2
"Young, Jacob","696285","2024","3",19.6,".331",".253",".317",".290",".286",".314",".064",68.2,1.4,8.9,7.4,35.7,29.4,"6.9","20","85.8","4",28.1,1.6,28.9,"96.872142235","92.486924676",12.1,36.6,59.1,84.8,19.3,44.9
"Merrill, Jackson","701538","2024","24",17,".500",".303",".534",".352",".372",".337",".231",72.2,21.3,15.2,12.3,30.4,24.6,"7.5","30","90.4","14.6",39.6,11.3,43.9,"100.811784978","94.735707484",13.8,35.5,64.2,85.8,20.5,56.9
"Yoshida, Masataka","807799","2024","10",12.4,".415",".258",".394",".336",".322",".331",".136",70.9,15.2,13.3,11.7,34.1,30.1,"7.3","4","88","10.5",36.3,5.5,37.5,"99.0909025","93.581912866",8.7,30.6,69.4,91.3,14.6,45.4
